RelativeAdjO,RelativeOffenseRating,RelativeAdjT,RelativeSOS,RelativeVolatility,SeedDiff,RelativeDefenseRating,RelativeAdjD,RelativeKenPomRank,RelativeLuck,RelativeAdjEM,RelativeOffDefRatio,RelativeNCSOS,RelativeExpectedOutput,RelativeQ1Wins,RelativeELO,RelativeMomentum,Team1_Won
-13.13900000000001,-12.719777355,8.994499999999995,0.0,-3.2036274134634795,15,-18.630700833,20.9217,-183,0.0,-34.0613,-0.39918785649366495,0.0,1.5221918369999798,-11,93,-0.5714285714285715,1
13.13900000000001,12.719777355,-8.994499999999995,0.0,3.2036274134634795,-15,18.630700833,-20.9217,183,0.0,34.0613,0.39918785649366495,0.0,-1.5221918369999798,11,-93,0.5714285714285715,0
-4.275999999999996,-5.076140855999999,-5.300699999999992,0.0,-1.7811787721072587,1,2.728961933,-1.7508000000000123,-17,0.0,-2.524899999999999,-0.02278862896311562,0.0,-8.975525789999992,2,-18,-0.00909090909090926,1
4.275999999999996,5.076140855999999,5.300699999999992,0.0,1.7811787721072587,-1,-2.728961933,1.7508000000000123,17,0.0,2.524899999999999,0.02278862896311562,0.0,8.975525789999992,-2,18,0.00909090909090926,0
-0.972999999999999,-1.833076329999999,4.417299999999997,0.0,0.08164162416063014,-7,7.153916017,-6.474999999999994,25,0.0,5.501800000000001,0.06710770654784026,0.0,4.518565112999994,1,-24,0.787878787878788,1
0.972999999999999,1.833076329999999,-4.417299999999997,0.0,-0.08164162416063014,7,-7.153916017,6.474999999999994,-25,0.0,-5.501800000000001,-0.06710770654784026,0.0,-4.518565112999994,-1,24,-0.787878787878788,0
-4.727999999999994,-6.956954302000001,5.489199999999997,0.0,-2.1726963592706783,9,-3.4614745019999997,4.1484999999999985,-56,0.0,-8.8761,-0.093292546395076,0.0,3.0907186879999955,-5,25,-0.5591397849462366,1
4.727999999999994,6.956954302000001,-5.489199999999997,0.0,2.1726963592706783,-9,3.4614745019999997,-4.1484999999999985,56,0.0,8.8761,0.093292546395076,0.0,-3.0907186879999955,5,-25,0.5591397849462366,0
-1.9779999999999944,-2.207408785,-1.7410999999999888,0.0,-2.349976669719574,5,-1.6240613159999997,-1.4076999999999913,-5,0.0,-0.5701,-0.003573163761974918,0.0,-3.2648941369999704,-4,-12,-0.5964912280701753,1
1.9779999999999944,2.207408785,1.7410999999999888,0.0,2.349976669719574,-5,1.6240613159999997,1.4076999999999913,5,0.0,0.5701,0.003573163761974918,0.0,3.2648941369999704,4,12,0.5964912280701753,0
13.771,11.101572327000001,-2.038499999999999,0.0,5.290956326567478,-11,4.938772074,-5.560900000000004,124,0.0,19.33186,0.21028501580667136,0.0,7.052536589000013,5,-80,1.1851851851851851,1
-13.771,-11.101572327000001,2.038499999999999,0.0,-5.290956326567478,11,-4.938772074,5.560900000000004,-124,0.0,-19.33186,-0.21028501580667136,0.0,-7.052536589000013,-5,80,-1.1851851851851851,0
10.528999999999996,9.012008803,4.280000000000001,0.0,-2.560927442148277,-3,-7.833214205,7.805999999999997,15,0.0,2.723699999999999,0.014138347563756648,0.0,11.997576293999998,-4,-42,-0.25,1
-10.528999999999996,-9.012008803,-4.280000000000001,0.0,2.560927442148277,3,7.833214205,-7.805999999999997,-15,0.0,-2.723699999999999,-0.014138347563756648,0.0,-11.997576293999998,4,42,0.25,0
4.109999999999999,3.962385114,-2.217100000000002,0.0,-4.654906386790483,-13,11.674699738000001,-15.676999999999992,92,0.0,19.787390000000002,0.24254212288468624,0.0,0.2407030849999927,6,-78,0.4,1
-4.109999999999999,-3.962385114,2.217100000000002,0.0,4.654906386790483,13,-11.674699738000001,15.676999999999992,-92,0.0,-19.787390000000002,-0.24254212288468624,0.0,-0.2407030849999927,-6,78,-0.4,0
15.458999999999989,12.646188492,-1.143500000000003,0.0,-1.661697391458726,-15,11.59306074,-13.890799999999999,235,0.0,29.349899999999998,0.28680492733016005,0.0,9.683993677999979,5,-213,1.119047619047619,1
-15.458999999999989,-12.646188492,1.143500000000003,0.0,1.661697391458726,15,-11.59306074,13.890799999999999,-235,0.0,-29.349899999999998,-0.28680492733016005,0.0,-9.683993677999979,-5,213,-1.119047619047619,0
2.546999999999997,4.082113502,5.985199999999992,0.0,2.655497578833267,1,-1.6182435530000001,2.1954000000000065,3,0.0,0.35219999999999985,4.2975442982706724e-05,0.0,8.603517196999988,1,-3,0.38866396761133604,1
-2.546999999999997,-4.082113502,-5.985199999999992,0.0,-2.655497578833267,-1,1.6182435530000001,-2.1954000000000065,-3,0.0,-0.35219999999999985,-4.2975442982706724e-05,0.0,-8.603517196999988,-1,3,-0.38866396761133604,0
1.5210000000000008,1.5595845480000001,-3.8632999999999953,0.0,3.430914268453111,-7,8.336830338999999,-8.997199999999992,60,0.0,10.5187,0.1203073737255167,0.0,-3.418524241,2,-2,1.1538461538461537,1
-1.5210000000000008,-1.5595845480000001,3.8632999999999953,0.0,-3.430914268453111,7,-8.336830338999999,8.997199999999992,-60,0.0,-10.5187,-0.1203073737255167,0.0,3.418524241,-2,2,-1.1538461538461537,0
4.501000000000005,4.593055735,-0.4346999999999923,0.0,1.6652605764593194,-5,2.6540197070000007,-1.8885000000000076,33,0.0,6.389200000000001,0.06997160146676618,0.0,2.5867139340000165,3,-18,0.25,1
-4.501000000000005,-4.593055735,0.4346999999999923,0.0,-1.6652605764593194,5,-2.6540197070000007,1.8885000000000076,-33,0.0,-6.389200000000001,-0.06997160146676618,0.0,-2.5867139340000165,-3,18,-0.25,0
