Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2009,Round32,936,Texas,7,76.0,Minnesota,10,62.0,14.0
2009,Round16,937,Duke,2,86.0,Binghamton,15,62.0,24.0
2009,R64,938,North Carolina,1,101.0,Radford,16,58.0,43.0
2009,Round32,939,LSU,8,75.0,Butler,9,71.0,4.0
2009,Round32,940,Western Kentucky,12,76.0,Illinois,5,72.0,4.0
2009,Round16,941,Gonzaga,4,77.0,Akron,13,64.0,13.0
2009,Round32,942,Arizona St.,6,66.0,Temple,11,57.0,9.0
2009,Round16,943,Syracuse,3,59.0,Stephen F. Austin,14,44.0,15.0
2009,Round32,944,Michigan,10,62.0,Clemson,7,59.0,3.0
2009,Round8,945,Oklahoma,2,82.0,Morgan St.,15,54.0,28.0
2009,Round8,946,Louisville,1,79.0,Siena,9,72.0,7.0
2009,Round16,947,Arizona,12,71.0,Cleveland St.,13,57.0,14.0
2009,Round16,948,Kansas,3,60.0,Dayton,11,43.0,17.0
2009,R32,949,Michigan St.,2,74.0,Southern California,10,69.0,5.0
2009,E8,950,Connecticut,1,92.0,Texas A&M,9,66.0,26.0
2009,Round16,951,Purdue,5,76.0,Washington,4,74.0,2.0
2009,Round8,952,Missouri,3,83.0,Marquette,6,79.0,4.0
2009,Round16,953,Memphis,2,89.0,Maryland,10,70.0,19.0
2009,Round8,954,Pittsburgh,1,84.0,Oklahoma St.,8,76.0,8.0
2009,Round16,955,Xavier,4,60.0,Wisconsin,12,49.0,11.0
2009,E8,956,Villanova,3,89.0,UCLA,6,69.0,20.0
2009,Round16,957,Duke,2,74.0,Texas,7,69.0,5.0
2009,R64,958,North Carolina,1,84.0,LSU,8,70.0,14.0
2009,Round16,959,Gonzaga,4,83.0,Western Kentucky,12,81.0,2.0
2009,Round16,960,Syracuse,3,78.0,Arizona St.,6,67.0,11.0
2009,Round8,961,Oklahoma,2,73.0,Michigan,10,63.0,10.0
2009,Round8,962,Louisville,1,103.0,Arizona,12,64.0,39.0
2009,R32,963,Michigan St.,2,67.0,Kansas,3,62.0,5.0
2009,E8,964,Connecticut,1,72.0,Purdue,5,60.0,12.0
2009,Round8,965,Missouri,3,102.0,Memphis,2,91.0,11.0
2009,Round8,966,Pittsburgh,1,60.0,Xavier,4,55.0,5.0
2009,E8,967,Villanova,3,77.0,Duke,2,54.0,23.0
2009,R64,968,North Carolina,1,98.0,Gonzaga,4,77.0,21.0
2009,Round8,969,Oklahoma,2,84.0,Syracuse,3,71.0,13.0
2009,R32,970,Michigan St.,2,64.0,Louisville,1,52.0,12.0
2009,E8,971,Connecticut,1,82.0,Missouri,3,75.0,7.0
2009,E8,972,Villanova,3,78.0,Pittsburgh,1,76.0,2.0
2009,R64,973,North Carolina,1,72.0,Oklahoma,2,60.0,12.0
2009,R32,974,Michigan St.,2,82.0,Connecticut,1,73.0,9.0
2009,R64,975,North Carolina,1,83.0,Villanova,3,69.0,14.0
2009,R64,976,North Carolina,1,89.0,Michigan St.,2,72.0,17.0
2010,Round32,851,Kansas,1,90.0,Lehigh,16,74.0,16.0
2010,Round16,852,Northern Iowa,9,69.0,UNLV,8,66.0,3.0
2010,E8,853,Michigan St.,5,70.0,New Mexico St.,12,67.0,3.0
2010,Round32,854,Maryland,4,89.0,Houston,13,77.0,12.0
2010,Round8,855,Tennessee,6,62.0,San Diego St.,11,59.0,3.0
2010,Round32,856,Ohio,14,97.0,Georgetown,3,83.0,14.0
2010,Round32,857,Georgia Tech,10,64.0,Oklahoma St.,7,59.0,5.0
2010,Round16,858,Ohio St.,2,68.0,UC Santa Barbara,15,51.0,17.0
2010,Round16,859,Syracuse,1,79.0,Vermont,16,56.0,23.0
2010,Round32,860,Gonzaga,8,67.0,Florida St.,9,60.0,7.0
2010,R32,861,Butler,5,77.0,UTEP,12,59.0,18.0
2010,Round32,862,Murray St.,13,66.0,Vanderbilt,4,65.0,1.0
2010,Round16,863,Xavier,6,65.0,Minnesota,11,54.0,11.0
2010,Round32,864,Pittsburgh,3,89.0,Oakland,14,66.0,23.0
2010,Round32,865,BYU,7,99.0,Florida,10,92.0,7.0
2010,Round8,866,Kansas St.,2,82.0,North Texas,15,62.0,20.0
2010,Round8,867,Kentucky,1,100.0,East Tennessee St.,16,71.0,29.0
2010,Round32,868,Wake Forest,9,81.0,Texas,8,80.0,1.0
2010,Round16,869,Cornell,12,78.0,Temple,5,65.0,13.0
2010,Round32,870,Wisconsin,4,53.0,Wofford,13,49.0,4.0
2010,Round16,871,Washington,11,80.0,Marquette,6,78.0,2.0
2010,Round32,872,New Mexico,3,62.0,Montana,14,57.0,5.0
2010,Round32,873,Missouri,10,86.0,Clemson,7,78.0,8.0
2010,E8,874,West Virginia,2,77.0,Morgan St.,15,50.0,27.0
2010,R64,875,Duke,1,73.0,Arkansas Pine Bluff,16,44.0,29.0
2010,Round32,876,California,8,77.0,Louisville,9,62.0,15.0
2010,Round32,877,Texas A&M,5,69.0,Utah St.,12,53.0,16.0
2010,Round16,878,Purdue,4,72.0,Siena,13,64.0,8.0
2010,Round32,879,Old Dominion,11,51.0,Notre Dame,6,50.0,1.0
2010,Round8,880,Baylor,3,68.0,Sam Houston St.,14,59.0,9.0
2010,Round16,881,Saint Mary's,10,80.0,Richmond,7,71.0,9.0
2010,Round32,882,Villanova,2,73.0,Robert Morris,15,70.0,3.0
2010,Round16,883,Northern Iowa,9,69.0,Kansas,1,67.0,2.0
2010,E8,884,Michigan St.,5,85.0,Maryland,4,83.0,2.0
2010,Round8,885,Tennessee,6,83.0,Ohio,14,68.0,15.0
2010,Round16,886,Ohio St.,2,75.0,Georgia Tech,10,66.0,9.0
2010,Round16,887,Syracuse,1,87.0,Gonzaga,8,65.0,22.0
2010,R32,888,Butler,5,54.0,Murray St.,13,52.0,2.0
2010,Round16,889,Xavier,6,71.0,Pittsburgh,3,68.0,3.0
2010,Round8,890,Kansas St.,2,84.0,BYU,7,72.0,12.0
2010,Round8,891,Kentucky,1,90.0,Wake Forest,9,60.0,30.0
2010,Round16,892,Cornell,12,87.0,Wisconsin,4,69.0,18.0
2010,Round16,893,Washington,11,82.0,New Mexico,3,64.0,18.0
2010,E8,894,West Virginia,2,68.0,Missouri,10,59.0,9.0
2010,R64,895,Duke,1,68.0,California,8,53.0,15.0
2010,Round16,896,Purdue,4,63.0,Texas A&M,5,61.0,2.0
2010,Round8,897,Baylor,3,76.0,Old Dominion,11,68.0,8.0
2010,Round16,898,Saint Mary's,10,75.0,Villanova,2,68.0,7.0
2010,E8,899,Michigan St.,5,59.0,Northern Iowa,9,52.0,7.0
2010,Round8,900,Tennessee,6,76.0,Ohio St.,2,73.0,3.0
2010,R32,901,Butler,5,63.0,Syracuse,1,59.0,4.0
2010,Round8,902,Kansas St.,2,101.0,Xavier,6,96.0,5.0
2010,Round8,903,Kentucky,1,62.0,Cornell,12,45.0,17.0
2010,E8,904,West Virginia,2,69.0,Washington,11,56.0,13.0
2010,R64,905,Duke,1,70.0,Purdue,4,57.0,13.0
2010,Round8,906,Baylor,3,72.0,Saint Mary's,10,49.0,23.0
2010,E8,907,Michigan St.,5,70.0,Tennessee,6,69.0,1.0
2010,R32,908,Butler,5,63.0,Kansas St.,2,56.0,7.0
2010,E8,909,West Virginia,2,73.0,Kentucky,1,66.0,7.0
2010,R64,910,Duke,1,78.0,Baylor,3,71.0,7.0
2010,R32,911,Butler,5,52.0,Michigan St.,5,50.0,2.0
2010,R64,912,Duke,1,78.0,West Virginia,2,57.0,21.0
2010,R64,913,Duke,1,61.0,Butler,5,59.0,2.0
2011,Round16,788,Ohio St.,1,75.0,UTSA,16,46.0,29.0
2011,Round32,789,George Mason,8,61.0,Villanova,9,57.0,4.0
2011,Round32,790,West Virginia,5,84.0,Clemson,12,76.0,8.0
2011,E8,791,Kentucky,4,59.0,Princeton,13,57.0,2.0
